Brand, Product Name, Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC Video Card,Free Shipping
ASUS,ASUS ROG GeForce GTX 1070 Ti STRIX-GTX1070TI-A8G-GAMING Video Card,Free Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI)| 100411NT+8GSEL,Free Shipping
EVGA,EVGA GeForce GTX 1080 FTW GAMING ACX 3.0| 08G-P4-6286-KR| 8GB GDDR5X| RGB LED| 10CM FAN| 10 Power Phases| Double BIOS| DX12 OSD Support (PXOC),$4.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1070 Mini| ZT-P10700G-10M| 8GB GDDR5,$4.99 Shipping
ASUS,ASUS ROG GeForce GTX 1080 STRIX-GTX1080-A8G-GAMING Video Card,$4.99 Shipping
MSI,MSI GeForce GTX 1080 DirectX 12 GeForce GTX 1080 DUKE 8G Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1070 Ti DirectX 12 GV-N107TGAMING-8GD Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1050 Ti SC GAMING| 04G-P4-6253-KR| 4GB GDDR5| DX12 OSD Support (PXOC),$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1080 AMP! Edition| ZT-P10800C-10P| 8GB GDDR5X IceStorm Cooling| Metal Wraparound Carbon ExoArmor Exterior| Ultra-wide 100mm Fans| Spectra Lighting| PowerBoost| FREEZE Fan Stop,$4.99 Shipping
Sapphire Tech,Sapphire Radeon PULSE RX 570 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI),$4.99 Shipping
